y,x0,x1,0,1
1,1.6833890549825463,-1.1265914052964499,9.258972197162155e-08,0.9999999074102782
1,2.438687265003015,-4.192102706055857,0.0008059345844193115,0.9991940654155805
1,-0.0688328092553343,-2.3739059648001906,5.952476830830142e-05,0.9999404752316913
1,0.12622095767769534,2.051914014077436,2.8993749861981682e-11,0.9999999999710063
1,7.4912786470144095,-7.098052661136001,0.0004772138356526795,0.9995227861643488
1,5.084150533157304,-4.47989144444772,1.4768185186238389e-05,0.9999852318148135
1,1.9526238553150528,2.660739489267897,3.4928531945077353e-13,0.999999999999651
0,-5.005495185229583,-12.431672605372267,0.9999999999998694,1.3032544776805894e-13
1,-5.71694243583544,0.9871572198628832,4.2083953212822974e-08,0.9999999579160468
1,4.894194513297906,1.6602186684427451,3.744190066274643e-14,0.9999999999999627
1,7.700656791258696,0.3848541559010243,2.9117447194041097e-15,0.9999999999999964
1,0.4607110715410458,0.049525173156197866,1.1054632941281712e-08,0.9999999889453673
1,-4.344158037834935,-2.481421616104571,0.002387730745023534,0.9976122692549767
1,-3.9930539762733503,3.004040506892508,4.605137990243286e-11,0.999999999953948
0,1.3058765045010032,-6.536085080170577,0.9399756286259566,0.06002437137404351
1,-2.2962214305352227,-0.06379359018409936,2.6416236349768845e-07,0.9999997358376362
1,0.3861046510316797,-3.7681889203643273,0.0037173055221830444,0.996282694477817
1,-5.7369427938910285,-2.8825610526342125,0.012917779931564637,0.9870822200684355
1,2.5693401181138995,-2.8951880562543764,8.0398968692103e-06,0.9999919601031311
1,7.212473099204737,-1.727234616137299,9.87057250390127e-12,0.9999999999901288
0,-0.966889391966996,-6.133424831611854,0.9838268513223095,0.01617314867769039
0,3.7668367429817082,-12.915941510673143,0.9999999997455138,2.5448569524075104e-10
1,3.334734016239347,-1.9285183468731295,8.482771700432965e-08,0.9999999151722827
0,-3.0546441449662267,-11.679326642212642,0.9999999999946967,5.303169483674425e-12
0,-1.5840030870614257,-7.453206123032793,0.9999141612929398,8.583870706048949e-05
0,1.9827547858503145,-6.1051727576782335,0.5563154932416112,0.4436845067583891
0,7.837233732829166,-12.163193406535495,0.9999556396259537,4.436037404529126e-05
0,-3.0757254146723145,-11.096428678070069,0.9999999999534959,4.6504528460738726e-11
0,3.1435165565155785,-9.440751154283925,0.9999643499339784,3.565006602167713e-05
0,0.5283508199882885,-9.60033934397115,0.9999996347354126,3.652645871832283e-07
0,-3.7744258289627237,-12.013247459042509,0.999999999998991,1.009357740278114e-12
0,3.1886142525138284,-11.512706875724952,0.9999999821161102,1.788388901476637e-08
0,-3.2478469364792515,-7.362946928102647,0.9999655094689731,3.4490531026716947e-05
